City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Nagar Karnul,IN,75.9,clear sky,16.4821,78.3247,Sanjeevani Hills
467,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
468,Sabang,ID,81.75,overcast clouds,5.8933,95.3214,Hotel Citra
469,Meiganga,CM,66.87,overcast clouds,6.5167,14.3,DFR HOUSE
470,Barra Mansa,BR,79.56,broken clouds,-22.5442,-44.1714,Ano Bom Palace Hotel
473,Bac Lieu,VN,76.6,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
474,Yanliang,CN,61.79,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
479,Dingle,PH,75.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
480,Jabinyanah,TN,78.6,clear sky,35.035,10.9081,maison belmabrouk
481,Palmer,US,74.68,overcast clouds,42.1584,-72.3287,Wedgewood Motel
482,Vallecillo,HN,81.99,broken clouds,14.5167,-87.4,PUENTE RIO LA PUERTA
486,Abbotsford,CA,59.7,broken clouds,49.058,-122.2526,Coast Abbotsford Hotel & Suites
488,Teahupoo,PF,75.16,few clouds,-17.8333,-149.2667,Vanira Lodge
490,Kirakira,SB,78.55,broken clouds,-10.4544,161.9205,SanBiz Lodge
493,Maputo,MZ,62.28,broken clouds,-25.9653,32.5892,Pestana Rovuma
494,Almora,IN,60.31,clear sky,29.6167,79.6667,New Dolma
495,Bahia Blanca,AR,64.36,broken clouds,-38.7196,-62.2724,Hotel Argos
496,Chauk,MM,77.76,few clouds,20.8833,94.8167,Bo Khin Guest House
498,Muscat,OM,77.02,overcast clouds,23.6139,58.5922,Mutrah Hotel
499,Deulgaon Raja,IN,77.14,overcast clouds,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
501,Katsuura,JP,71.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
502,Pemangkat,ID,78.33,overcast clouds,1.1667,108.9667,Ramah Kost KITA
504,Waingapu,ID,75.29,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
505,Banting,MY,80.74,overcast clouds,2.8167,101.5,Hotel Intan Jugra
507,Meulaboh,ID,75.38,few clouds,4.1363,96.1285,Kost Pria
508,Mahon,ES,75.76,broken clouds,39.8885,4.2658,ARTIEM Capri
509,Darnah,LY,70.05,clear sky,32.767,22.6367,فندق الفردوس
510,Tsabong,BW,58.91,clear sky,-26.0217,22.401,Springbok Motel
512,Lorengau,PG,79.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
513,Denpasar,ID,76.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
515,Tevaitoa,PF,78.31,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
518,Margate,GB,56.03,clear sky,51.3813,1.3862,Premier Inn Margate hotel
520,Russell,US,81.68,broken clouds,32.3502,-85.1999,Macs
521,Picton,AU,62.49,broken clouds,-34.1833,150.6,Picton Valley Motel
522,Batemans Bay,AU,55.9,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
528,Bardiyah,LY,71.51,clear sky,31.7561,25.0865,بورتو بردية
533,Kabinda,CD,69.66,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
534,Hsinchu,TW,84.18,clear sky,24.8036,120.9686,迎曦大飯店
535,Kawalu,ID,70.74,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
536,Roebourne,AU,69.69,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
537,Bartica,GY,77.32,heavy intensity rain,6.4,-58.6167,Sloth Island Nature Resort
