City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Satipo,PE,2021-10-01 01:36:34,-11.2522,-74.6386,70.52,81,18,3.04
166,Ames,US,2021-10-01 01:36:35,42.0347,-93.6199,76.05,85,90,4.0
167,Klaksvik,FO,2021-10-01 01:36:35,62.2266,-6.589,49.12,78,19,17.96
168,Riyadh,SA,2021-10-01 01:33:49,24.6877,46.7219,73.54,13,4,4.99
169,Ancud,CL,2021-10-01 01:36:36,-41.8697,-73.8203,42.33,65,100,6.55
170,Ballaghaderreen,IE,2021-10-01 01:36:36,53.9,-8.5833,48.81,89,91,20.74
171,Saint-Francois,FR,2021-10-01 01:36:37,46.4154,3.9054,40.68,100,0,2.3
172,Ponta Do Sol,PT,2021-10-01 01:32:56,32.6667,-17.1,72.23,65,10,7.74
173,Olinda,BR,2021-10-01 01:34:38,-8.0089,-34.8553,78.53,83,75,9.22
174,Northam,GB,2021-10-01 01:32:20,51.0333,-4.2167,60.42,95,100,21.83
175,Shalya,RU,2021-10-01 01:36:37,57.2471,58.7298,38.59,99,100,4.34
176,Dakar,SN,2021-10-01 01:32:09,14.6937,-17.4441,79.68,81,10,9.86
177,Batagay,RU,2021-10-01 01:36:38,67.6333,134.6333,32.36,34,18,0.6
178,Gigmoto,PH,2021-10-01 01:36:38,13.7796,124.39,87.39,65,100,1.07
179,Arkhipo-Osipovka,RU,2021-10-01 01:36:38,44.37,38.52,49.57,74,97,23.4
180,Kruisfontein,ZA,2021-10-01 01:36:39,-34.0033,24.7314,58.89,96,91,4.27
181,Vasterhaninge,SE,2021-10-01 01:36:39,59.1167,18.1,54.63,84,88,18.99
182,Kalmunai,LK,2021-10-01 01:36:40,7.4167,81.8167,79.14,82,100,2.82
183,Rawson,AR,2021-10-01 01:36:40,-43.3002,-65.1023,50.77,59,4,12.97
184,Auki,SB,2021-10-01 01:36:40,-8.7676,160.7034,87.73,59,100,2.37
185,Gat,IL,2021-10-01 01:33:04,31.61,34.7642,72.28,84,0,2.19
186,Biu,NG,2021-10-01 01:36:41,10.6129,12.1946,71.58,77,100,3.62
187,Faya,SA,2021-10-01 01:36:41,18.3851,42.4509,60.91,35,39,0.65
188,Port Angeles,US,2021-10-01 01:36:41,48.1181,-123.4307,58.06,94,40,0.0
189,Vostok,RU,2021-10-01 01:36:42,46.4856,135.8833,51.73,56,100,5.46
190,Petauke,ZM,2021-10-01 01:36:42,-14.2426,31.3253,69.69,56,4,11.07
191,Jardim,BR,2021-10-01 01:36:42,-21.4803,-56.1381,86.52,37,99,6.42
192,Orlik,RU,2021-10-01 01:36:43,52.5178,99.825,39.63,64,46,4.05
193,Mount Darwin,ZW,2021-10-01 01:36:43,-16.7725,31.5838,59.67,90,0,3.31
194,Souillac,MU,2021-10-01 01:36:44,-20.5167,57.5167,71.98,78,75,12.66
195,Los Llanos De Aridane,ES,2021-10-01 01:36:44,28.6585,-17.9182,73.13,67,90,16.11
196,Sur,OM,2021-10-01 01:36:44,22.5667,59.5289,87.15,61,100,2.57
197,Fremont,US,2021-10-01 01:35:50,37.5483,-121.9886,87.67,39,1,1.99
198,Mier,MX,2021-10-01 01:36:45,26.4333,-99.15,92.08,58,62,22.35
199,Vagur,FO,2021-10-01 01:36:45,61.4732,-6.8119,49.17,74,0,18.48
200,Los Angeles,US,2021-10-01 01:35:51,34.0522,-118.2437,90.77,45,1,5.75
201,Sibolga,ID,2021-10-01 01:36:46,1.7427,98.7792,78.94,78,100,1.01
202,Marawi,PH,2021-10-01 01:36:46,7.9986,124.2928,74.64,63,49,2.93
203,Tezu,IN,2021-10-01 01:36:47,27.9167,96.1667,79.72,79,64,1.5
204,Sakakah,SA,2021-10-01 01:36:47,29.9697,40.2064,78.37,30,0,9.84
205,Katsuura,JP,2021-10-01 01:36:48,35.1333,140.3,69.12,96,100,37.8
206,Buala,SB,2021-10-01 01:36:48,-8.145,159.5921,85.1,66,100,5.91
207,Yichang,CN,2021-10-01 01:36:48,30.7144,111.2847,81.93,60,0,1.79
208,La Macarena,CO,2021-10-01 01:36:49,2.1837,-73.7849,71.19,97,66,1.25
209,Ganta,LR,2021-10-01 01:36:49,7.3022,-8.5308,69.03,100,100,0.89
210,Kavieng,PG,2021-10-01 01:36:49,-2.5744,150.7967,83.79,76,84,15.28
211,Fomboni,KM,2021-10-01 01:36:50,-12.28,43.7425,76.73,79,71,10.22
212,Oparino,RU,2021-10-01 01:36:50,59.8518,48.2783,42.04,97,100,4.43
213,Longyearbyen,SJ,2021-10-01 01:36:50,78.2186,15.6401,35.44,80,40,3.44
214,Korla,CN,2021-10-01 01:36:51,41.7597,86.1469,70.0,20,18,3.31
215,Lukovetskiy,RU,2021-10-01 01:36:51,64.2956,41.9211,46.38,94,91,2.82
216,Bambous Virieux,MU,2021-10-01 01:33:01,-20.3428,57.7575,71.85,78,75,12.66
217,Daltenganj,IN,2021-10-01 01:36:51,24.0333,84.0667,73.92,97,100,5.99
218,Bosaso,SO,2021-10-01 01:36:52,11.2842,49.1816,87.39,57,96,2.42
219,Balkhash,KZ,2021-10-01 01:36:52,46.844,74.9804,36.21,80,20,6.71
220,Saint George,US,2021-10-01 01:32:55,37.1041,-113.5841,77.25,16,1,1.01
221,Tiarei,PF,2021-10-01 01:36:53,-17.5333,-149.3333,86.02,76,5,17.29
222,Hirara,JP,2021-10-01 01:36:53,24.8,125.2833,86.27,74,40,10.36
223,Hofn,IS,2021-10-01 01:36:53,64.2539,-15.2082,43.97,86,100,24.32
224,Parfenyevo,RU,2021-10-01 01:36:54,58.484,43.4088,41.32,98,97,5.28
225,Lufilufi,WS,2021-10-01 01:36:54,-13.8745,-171.5986,92.98,77,97,23.4
226,Goderich,CA,2021-10-01 01:36:01,43.7501,-81.7165,51.91,87,6,3.44
227,Preobrazheniye,RU,2021-10-01 01:36:54,42.9019,133.9064,58.77,88,100,4.56
228,Lorengau,PG,2021-10-01 01:36:55,-2.0226,147.2712,77.56,89,100,5.73
229,Okhotsk,RU,2021-10-01 01:36:55,59.3833,143.3,34.75,95,100,14.85
230,Tadine,NC,2021-10-01 01:36:55,-21.55,167.8833,74.26,78,93,15.9
231,Ferkessedougou,CI,2021-10-01 01:36:56,9.6,-5.2,72.77,93,74,2.55
232,Narsaq,GL,2021-10-01 01:36:56,60.9167,-46.05,34.02,47,0,4.85
233,Veshkayma,RU,2021-10-01 01:36:56,54.05,47.1333,42.73,83,100,6.33
234,Mogadishu,SO,2021-10-01 01:36:57,2.0371,45.3438,77.99,87,100,13.11
235,Anadyr,RU,2021-10-01 01:36:57,64.75,177.4833,30.7,68,0,8.01
236,Dingle,PH,2021-10-01 01:36:57,10.9995,122.6711,85.19,73,88,3.94
237,Birecik,TR,2021-10-01 01:36:58,37.0294,37.9903,63.61,41,0,5.08
238,Karratha,AU,2021-10-01 01:36:58,-20.7377,116.8463,85.62,32,1,11.36
239,Paamiut,GL,2021-10-01 01:36:59,61.994,-49.6678,36.82,60,7,9.57
240,Samarai,PG,2021-10-01 01:36:59,-10.6167,150.6667,82.09,77,56,8.72
241,Aykhal,RU,2021-10-01 01:36:59,66.0,111.5,35.6,42,31,4.81
242,Lasem,ID,2021-10-01 01:37:00,-6.6922,111.4527,86.18,59,100,8.37
243,Ust-Kulom,RU,2021-10-01 01:37:00,61.6864,53.6902,37.2,89,100,3.58
244,Christchurch,NZ,2021-10-01 01:35:56,-43.5333,172.6333,60.48,53,0,8.01
245,Yuzawa,JP,2021-10-01 01:37:01,39.1667,140.5,66.02,85,100,7.31
246,Ostrovnoy,RU,2021-10-01 01:37:01,68.0531,39.5131,41.86,87,100,4.92
247,Araouane,ML,2021-10-01 01:37:01,18.9048,-3.5265,86.25,43,51,5.55
248,Port Macquarie,AU,2021-10-01 01:37:02,-31.4333,152.9167,73.36,55,38,9.19
249,Rabo De Peixe,PT,2021-10-01 01:37:02,37.8,-25.5833,70.29,91,20,3.44
250,Hami,CN,2021-10-01 01:37:02,42.8,93.45,70.93,22,12,6.29
251,Broome,US,2021-10-01 01:37:03,42.2506,-75.833,51.66,74,20,6.91
252,Hamilton,US,2021-10-01 01:33:32,39.1834,-84.5333,67.98,79,1,0.0
253,Nikolskoye,RU,2021-10-01 01:37:25,59.7035,30.7861,42.69,96,47,4.81
254,Dalvik,IS,2021-10-01 01:37:25,65.9702,-18.5286,40.93,84,100,18.72
255,Svetlyy,RU,2021-10-01 01:37:25,54.675,20.1347,46.45,77,43,7.63
256,Kedrovyy,RU,2021-10-01 01:37:26,56.1667,91.8167,37.81,99,100,3.87
257,Itarema,BR,2021-10-01 01:37:26,-2.9248,-39.9167,78.64,84,31,11.36
258,Coihaique,CL,2021-10-01 01:37:26,-45.5752,-72.0662,40.95,65,81,4.61
259,Fairbanks,US,2021-10-01 01:35:51,64.8378,-147.7164,39.16,65,90,3.44
260,Terrace,CA,2021-10-01 01:37:27,54.5163,-128.6035,51.71,87,75,16.11
261,Nsanje,MW,2021-10-01 01:37:27,-16.92,35.262,71.13,87,4,4.36
262,Shahpura,IN,2021-10-01 01:37:28,27.3833,75.9667,76.33,74,78,3.22
263,Ajuchitlan,MX,2021-10-01 01:37:28,20.7167,-100.0167,65.59,88,100,6.55
264,Provideniya,RU,2021-10-01 01:37:28,64.3833,-173.3,35.71,55,90,15.66
265,Port Hedland,AU,2021-10-01 01:37:29,-20.3167,118.5667,82.45,65,3,11.5
266,Kavaratti,IN,2021-10-01 01:37:29,10.5669,72.642,81.61,79,99,11.81
267,Namatanai,PG,2021-10-01 01:37:29,-3.6667,152.4333,84.02,69,99,7.52
