City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Jardim,BR,-21.4803,-56.1381,96.51,32,8,13.78,clear sky
140,Kurilsk,RU,45.2333,147.8833,55.94,83,100,16.11,moderate rain
141,Saint-Augustin,CA,51.226,-58.6502,43.2,88,100,8.23,overcast clouds
142,Gombe,NG,10.2897,11.1673,82.62,46,0,4.65,clear sky
143,Kavieng,PG,-2.5744,150.7967,80.92,74,100,2.73,overcast clouds
144,Rio Gallegos,AR,-51.6226,-69.2181,60.85,23,75,31.07,broken clouds
145,Riyadh,SA,24.6877,46.7219,87.94,13,9,8.08,clear sky
146,Pitimbu,BR,-7.4706,-34.8086,86.59,71,6,12.5,clear sky
147,Grand Gaube,MU,-20.0064,57.6608,72.37,74,4,11.99,light rain
148,Deputatskiy,RU,69.3,139.9,16.83,93,100,4.5,overcast clouds
149,San Patricio,US,28.017,-97.5169,90.32,54,82,8.05,broken clouds
150,East London,ZA,-33.0153,27.9116,56.34,82,20,0.0,light rain
151,Sitrah,BH,26.1547,50.6206,89.6,79,20,1.01,few clouds
152,Mecca,SA,21.4267,39.8261,87.85,43,27,4.12,scattered clouds
153,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,13.67,overcast clouds
154,Siilinjarvi,FI,63.0833,27.6667,48.22,81,0,9.22,clear sky
155,Portland,US,45.5234,-122.6762,68.11,67,75,1.01,broken clouds
156,Luderitz,NA,-26.6481,15.1594,60.31,50,78,25.55,broken clouds
157,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,16.11,clear sky
158,Vostok,RU,46.4856,135.8833,45.1,97,100,3.53,overcast clouds
159,Balkhash,KZ,46.844,74.9804,46.33,42,100,3.69,overcast clouds
160,Naze,JP,28.3667,129.4833,77.34,63,0,20.11,clear sky
161,Klaksvik,FO,62.2266,-6.589,47.32,94,100,38.59,overcast clouds
162,Westport,US,41.1415,-73.3579,79.29,63,1,1.01,clear sky
163,Guaruja,BR,-23.9931,-46.2564,77.16,49,0,1.99,clear sky
164,Iringa,TZ,-7.7667,35.7,60.24,65,20,5.53,few clouds
165,Mouila,GA,-1.8685,11.0559,75.43,95,100,2.37,overcast clouds
166,Alice Town,BS,25.7167,-79.3,81.61,63,4,14.54,clear sky
167,Yeppoon,AU,-23.1333,150.7333,73.18,93,2,3.71,clear sky
168,San Quintin,MX,30.4833,-115.95,80.6,39,100,8.25,overcast clouds
169,Udachnyy,RU,66.4167,112.4,28.02,73,100,4.7,overcast clouds
170,Haines Junction,CA,60.7522,-137.5108,33.75,100,100,3.44,light rain
171,Alofi,NU,-19.0595,-169.9187,75.09,88,59,13.8,light rain
172,Kahului,US,20.8947,-156.47,81.97,71,20,4.61,few clouds
173,Arman,RU,59.7,150.1667,37.85,64,100,15.55,overcast clouds
